101,2253075,Huỳnh,Ngọc,Male,11/05/2004,572040117928 
102,2253076,Bùi,Nguyên,Female,02/01/2004,443040102223 
103,2253077,Bùi,Nguyên,Male,21/12/2004,592040100069 
104,2253078,Nguyễn,Nguyên,Male,22/08/2004,32040104962 
105,2253081,Trần,Nhi,Male,28/11/2004,502040110919 
106,2253082,Ngô,Phát,Male,23/12/2004,942040113137 
107,2253086,Tống,Phúc,Male,20/11/2004,842040108421 
108,2253092,Hoàng,Quân,Female,07/08/2004,133040128657 
109,2253113,Nguyễn,Triết,Male,15/10/2004,52040125309 
110,2290040,Võ,Duyên,Male,24/02/2004,652040108604 
111,2290096,Châu,Nhiên,Female,29/01/2004,593040112180 
112,2290105,Quách,Quốc,Male,04/06/2004,82040114505 
113,2291022,Phạm,Khang,Female,16/10/2004,373040102053 
114,2260001,Trần,An,Male,19/05/2004,652040113507 
115,2260003,Trương,An,Female,08/10/2004,13040105026 
116,2260004,Đoàn,Anh,Female,26/06/2004,313040113616 
117,2260009,Trần,Anh,Male,27/12/2004,952040104264 
118,2260012,Lê,Bình,Female,11/11/2004,473040115915 
119,2260013,Lê,Bình,Female,05/10/2004,213040121690 
120,2260023,Hoàng,Đại,Male,22/09/2004,572040109344 
121,2260024,Phan,Đan,Male,19/07/2004,372040130307 
122,2260025,Tô,Đào,Female,18/01/2004,263040122531 
123,2260026,Hồ,Đạt,Male,29/05/2004,292040105734 
124,2260028,Nguyễn,Đạt,Female,31/10/2004,753040120127 
125,2260031,Hà,Diệu,Female,17/04/2004,473040130732 
126,2260034,Bùi,Đức,Female,20/04/2004,373040127923 
127,2260040,Nguyễn,Dương,Female,31/12/2004,13040114800 
128,2260042,Nguyễn,Duy,Female,25/04/2004,473040118318 
129,2260047,Lê,Giang,Male,13/09/2004,632040107189 
130,2260057,Phạm,Hậu,Female,11/02/2004,523040117362 
131,2260061,Ngô,Hiển,Male,26/07/2004,802040127083 
132,2260065,Nguyễn,Hiếu,Female,24/10/2004,203040122400 
133,2260066,Nguyễn,Hiếu,Male,16/04/2004,372040122320 
134,2260068,Võ,Hiếu,Female,25/05/2004,83040108380 
135,2260074,Phạm,Hương,Female,12/08/2004,613040105394 
136,2260075,Đặng,Huy,Female,21/04/2004,553040115437 
137,2260076,Nguyễn,Huy,Male,13/12/2004,52040131541 
138,2260078,Vương,Huy,Male,19/05/2004,782040121475 
139,2260082,Nguyễn,Khánh,Female,22/02/2004,93040106865 
140,2260083,Ngô,Khoa,Male,10/12/2004,822040114375 
141,2260086,Lê,Kiên,Female,12/08/2004,213040121058 
142,2260093,Võ,Lâm,Male,29/07/2004,822040117860 
143,2260094,Trương,Lịch,Male,14/11/2004,72040111618 
144,2260111,Nguyễn,Nam,Female,24/11/2004,203040108588 
145,2260125,Phạm,Nhã,Female,23/12/2004,753040102594 
146,2260129,Võ,Nhân,Male,11/07/2004,572040122365 
147,2260132,Nguyễn,Nhật,Female,06/02/2004,283040112122 
