1,2259001,Pham,An,Female,14/05/2004,393040117317
2,2259002,Tran,Bao,Male,27/11/2004,262040116162
3,2259003,Hoang,Chuong,Male,30/03/2004,602040123778
4,2259004,Nguyen,Danh,Male,30/11/2004,542040113675
5,2259005,Nguyen,Duy,Male,01/09/2004,792040132279
6,2259006,Phan,Duy,Female,11/03/2004,543040117813
7,2259010,Tran,Hung,Female,04/11/2004,903040110276
8,2259011,Tran,Hung,Male,02/05/2004,332040101631
9,2259012,Hua,Huu,Male,30/08/2004,932040114682
10,2259013,Ha,Huy,Female,15/09/2004,573040118310
11,2259014,Bui,Huy,Male,11/06/2004,152040120145
12,2259015,Dang,Khang,Male,13/01/2004,212040127549
13,2259016,Pham,Khanh,Male,29/09/2004,632040121572
14,2259122,Vo,Khoa,Female,07/03/2004,733040125291
15,2259018,Nguyen,Khoa,Female,13/12/2004,693040116477
16,2259019,Vu,Kien,Male,02/08/2004,582040117084
17,2259021,Nguyen,Linh,Female,08/10/2004,333040108409
18,2259022,Nguyen,Loc,Female,23/12/2004,323040130522
19,2259023,Nguyen,Loi,Male,23/03/2004,572040122707
20,2259025,Vu,Minh,Female,12/01/2004,593040102131
21,2259026,Nguyen,Minh,Female,25/02/2004,453040115340
22,2259027,Vo,Minh,Female,24/06/2004,363040117913
23,2259028,Bui,Nhat,Female,20/06/2004,23040112855
24,2259029,Dang,Phi,Male,01/05/2004,352040107793
25,2259030,Le,Phuc,Female,22/02/2004,143040115621
26,2259034,Doan,Son,Female,10/09/2004,863040119481
27,2259036,Nguyen,Thinh,Male,27/05/2004,482040115341
28,2259037,Nguyen,Thinh,Male,29/01/2004,722040112363
29,2259038,Nguyen,Thu,Female,21/01/2004,853040108836
30,2259039,Huynh,Tin,Male,23/11/2004,732040127747
31,2259040,Vuong,Tin,Female,17/05/2004,233040105403
32,2259041,Dang,Tran,Female,30/09/2004,703040126421
33,2259042,Vu,Trang,Female,01/08/2004,953040107685
34,2259043,Dang,Trinh,Female,13/05/2004,853040115474
35,2259045,Nguyen,Truc,Male,07/06/2004,452040129516
36,2259046,Diep,Trieu,Male,18/03/2004,472040125812
37,2258001,Pham,Anh,Male,29/09/2004,542040109475
38,2258002,Vo,Anh,Female,19/10/2004,753040102307
39,2258004,Tran,Anh,Female,22/03/2004,503040105782
