1,2259001,Phạm,An,5,7.8,5.4
2,2259002,Trần,Bảo,3.9,8.1,3.8
3,2259003,Hoàng,Chương,9.4,5.8,8.9
4,2259004,Nguyễn,Danh,6.6,8.2,6.9
5,2259005,Nguyễn,Duy,5.1,7 ,5.3
6,2259006,Phan,Duy,9.4,3.9,4
7,2259010,Trần,Hưng,7.4,3 ,9.8
8,2259011,Trần,Hưng,9.5,5 ,4.5
9,2259012,Hứa,Hữu,3.4,7.5,4.9
10,2259013,Hà,Huy,7.5,3.8,6
11,2259014,Bùi,Huy,9.2,9.8,5.1
12,2259015,Đặng,Khang,8.1,9.2,6.5
13,2259016,Phạm,Khánh,8.3,4.5,9.3
14,2259022,Võ,Khoa,8.9,6.3,8.8
15,2259018,Nguyễn,Khoa,4.4,7.2,4.2
16,2259019,Vũ,Kiên,9.2,7.8,3.7
17,2259021,Nguyễn,Linh,6.9,6.8,5.6
18,2259022,Nguyễn,Lộc,8.8,3.4,3
19,2259023,Nguyễn,Lợi,4,9.3,5
20,2259025,Vũ,Minh,6.3,7.7,8.8
21,2259026,Nguyễn,Minh,9,4 ,5.1
22,2259027,Võ,Minh,4.3,6.5,9.9
23,2259028,Bùi,Nhật,5.5,5.1,4.2
24,2259029,Đặng,Phi,3.3,9.9,9.5
25,2259030,Lê,Phúc,9.4,3.8,4.7
26,2259034,Đoàn,Sơn,9.3,5.9,7.8
27,2259036,Nguyễn,Thịnh,4,8.5,6.8
28,2259037,Nguyễn,Thịnh,6.2,4.8,5.1
29,2259038,Nguyễn,Thư,7,7 ,8
30,2259039,Huỳnh,Tín,9,4 ,8.5
31,2259040,Vương,Tín,7,4.6,3.7
32,2259041,Đặng,Trân,5.3,5 ,5.5
33,2259042,Vũ,Trang,6.1,4.3,9
34,2259043,Đặng,Trình,5.9,5.8,8.2
35,2259045,Nguyễn,Trực,7.9,9.8,7.6
36,2259046,Diệp,Triều,6.2,3.5,5
37,2258001,Phạm,Anh,4.1,8.8,9.1
38,2258002,Võ,Anh,7.7,9.7,8.4
39,2258004,Trần,Anh,7.3,4.6,9.1
40,2258005,Nguyễn,Anh,7.6,5.8,3.1
41,2258007,Huỳnh,Diệp,7.7,5.8,5.7
42,2258008,Lê,Duy,6.1,5.8,4.3
43,2258010,Nguyễn,Khang,3.7,5.5,4.7
44,2258011,Tăng,Linh,7,6.3,7.1
45,2258012,Võ,Loan,6.2,9.6,9.1
46,2258013,Trần,Minh,7.2,7 ,3.7
47,2258016,Lê,Toàn,6.8,9.4,5.6
48,2258022,Trần,Tú,7.2,8.6,9.7
49,2258018,Nguyễn,Tuấn,9.5,8.6,4.7
50,2258020,Phạm,Thảo,3.2,5.5,7.9
